0|V-create|180|180|5|0|1|1|0|0|The user ignites its forehead and hurls itself at the target![NEWLINE]-Lowers the user's Def. Sp.D and Spe. 1 stage each.|stat self,de:sd:sp,-1:-1:-1,100
1|Super Spirit Bomb|175|175|5|1|0|3|0|6|The user gathers life-energy from everything in the world and fires it at the target![NEWLINE]-Bomb/ball move.|bullet
2|Prismatic Laser|160|160|10|1|0|10|0|0|The user attacks the target with lasers using the power of a prism![NEWLINE]-The user must rest on the next turn.|mustRest
3|Eternabeam|160|160|5|1|0|14|0|0|The user harnesses Dynamax energy and releases it in a beam![NEWLINE]-The user must rest on the next turn.|mustRest
4|Hyper Beam|150|150|5|1|0|0|0|0|The user attacks with a powerful beam![NEWLINE]-The user must rest on next turn.|mustRest
5|Giga Impact|150|150|5|0|1|0|0|0|The user charges at the target using every bit of its power![NEWLINE]-The user must rest on next turn.|mustRest
6|Blast Burn|150|150|5|1|0|1|0|0|The user razes the target with a fiery explosion![NEWLINE]-The user must rest on next turn.|mustRest
7|Eruption|1|1|5|1|0|1|0|6|The user attacks with explosive fury![NEWLINE]-Power = 150 x userHP%.|spout
8|Hydro Cannon|150|150|5|1|0|2|0|0|The user attacks the target with a watery blast![NEWLINE]-The user must rest on next turn.|mustRest
9|Water Spout|1|1|5|1|0|2|0|6|The user spouts water to damage the target![NEWLINE]-Power = 150 x userHP%.|spout
10|Frenzy Plant|150|150|5|1|0|3|0|0|The user slams the target with roots from an enormous tree![NEWLINE]-The user must rest on next turn.|mustRest
11|Chloroblast|150|150|5|1|0|3|0|0|The user amasses chlorophyll and launches it at the target![NEWLINE]-The user loses half of its max HP to recoil damage.|recoil 1/2maxhp
12|Meteor Assault|150|150|5|0|0|6|0|0|The user attacks wildly with its thick leek![NEWLINE]-The user must rest on next turn.|mustRest
13|Rock Wrecker|150|150|5|0|0|12|0|0|The user launches a huge boulder at the target![NEWLINE]-The user must rest on next turn.[NEWLINE]-Bomb/ball move.|mustRest bullet
14|Head Smash|150|150|5|0|1|12|0|0|The user attacks the target with a full-power headbutt![NEWLINE]-The user takes 1/2 recoil damage.|recoil 1/2
15|Roar of Time|150|150|5|1|0|14|0|0|The user shouts a roar that distorts time and inflicts chronological damage on the target![NEWLINE]-The user must rest on next turn.|mustRest
16|Dragon Energy|1|1|5|1|0|14|0|0|The user attacks by converting its life-force into power![NEWLINE]-Power = 150 x userHP%.|spout
17|Boomburst|140|140|10|1|0|0|0|5|The user attacks with a terrible, explosive sound![NEWLINE]-Sound-based move.|sound
18|Freeze Shock|140|140|5|0|0|5|0|0|On the next turn, the user hits the target with electrically charged ice![NEWLINE]-Two-turn move.[NEWLINE]-30% chance to paralyze.|2turn para 30
19|Ice Burn|140|140|5|1|0|5|0|0|On the next turn, the user surrounds the target withan ultra-cold, freezing wind![NEWLINE]-Two-turn move.[NEWLINE]-30% chance to burn.|2turn burn 30
20|Psycho Boost|140|140|5|1|0|10|0|0|The user attacks with all its might![NEWLINE]-Lowers the user's Sp.A 2 stages.|stat self,sa,-2,100
21|Skull Bash|130|130|10|0|1|0|0|0|The user tucks its head in and charges at the target![NEWLINE]-Two-turn move.[NEWLINE]-Raises the user's Def. 1 stage on the first turn.|2turn skullbash
22|Overheat|130|130|5|1|0|1|0|0|The user attacks with its full power![NEWLINE]-Lowers the user's Sp.A 2 stages.|stat self,sa,-2,100
23|Blue Flare|130|130|5|1|0|1|0|0|The user engulfs the target in an beautiful, intense blue flame![NEWLINE]-20% chance to burn.|burn 20
24|Leaf Storm|130|130|5|1|0|3|0|0|The user whips up a storm of leaves around the target![NEWLINE]-Lowers the user's Sp.A 2 stages.|stat self,sa,-2,100
25|Bolt Strike|130|130|5|0|1|4|0|0|The user surrounds itself with electricity and charges the target![NEWLINE]-20% chance to paralyze.|para 20
26|Electro Shot|130|130|10|1|0|4|0|0|The user gathers electricity on the first turn and fires a high-voltage shot on the next![NEWLINE]-Two-turn move.[NEWLINE]-Raises the user's Sp.A 1 stage on the first turn.[NEWLINE]-Skips the charging turn in rain.|electroshot 2turn
27|Draco Meteor|130|130|5|1|0|14|0|0|The user calls upon its draconic heritage and unleashes a storm of meteors![NEWLINE]-Lowers the user's Sp.A 2 stages.|stat self,sa,-2,100
28|Solar Blade|125|125|10|0|1|3|0|0|The user focuses sunlight into a blade to attack![NEWLINE]-Two-turn move.[NEWLINE]-Skips the charging turn in harsh sunlight.[NEWLINE]-Power is halved in rain, sandstorm, hail.|2turn solar
29|Double-Edge|120|120|15|0|1|0|0|0|The user rushes the target with a reckless tackle![NEWLINE]-The user takes 1/3 recoil damage.|recoil 1/3
30|Head Charge|120|120|15|0|1|0|0|0|The user charges with its head and powerful guard hair![NEWLINE]-The user takes 1/4 recoil damage.|recoil 1/4
31|Mega Kick|120|120|5|0|1|0|0|0|The user launches a kick with muscle-packed power!|null
32|Crush Grip|1|1|5|0|1|0|0|0|The user crushes the target with great force![NEWLINE]-Power = 120 x targetHP%|crushgrip
33|Multi-Attack [Normal]|120|120|10|0|1|0|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Normal Memory.|null
34|Multi-Attack [Fire]|120|120|10|0|1|1|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Fire Memory.|null
35|Multi-Attack [Water]|120|120|10|0|1|2|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Water Memory.|null
36|Multi-Attack [Grass]|120|120|10|0|1|3|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Grass Memory.|null
37|Multi-Attack [Electric]|120|120|10|0|1|4|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Electric Memory.|null
38|Multi-Attack [Ice]|120|120|10|0|1|5|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Ice Memory.|null
39|Multi-Attack [Fighting]|120|120|10|0|1|6|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Fighting Memory.|null
40|Multi-Attack [Poison]|120|120|10|0|1|7|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Poison Memory.|null
41|Multi-Attack [Ground]|120|120|10|0|1|8|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Ground Memory.|null
42|Multi-Attack [Flying]|120|120|10|0|1|9|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Flying Memory.|null
43|Multi-Attack [Psychic]|120|120|10|0|1|10|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Psychic Memory.|null
44|Multi-Attack [Bug]|120|120|10|0|1|11|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Bug Memory.|null
45|Multi-Attack [Rock]|120|120|10|0|1|12|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Rock Memory.|null
46|Multi-Attack [Ghost]|120|120|10|0|1|13|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Ghost Memory.|null
47|Multi-Attack [Dragon]|120|120|10|0|1|14|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Dragon Memory.|null
48|Multi-Attack [Dark]|120|120|10|0|1|15|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Dark Memory.|null
49|Multi-Attack [Steel]|120|120|10|0|1|16|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Steel Memory.|null
50|Multi-Attack [Fairy]|120|120|10|0|1|17|0|0|The user cloaks itself in powerful energy and slams into the target![NEWLINE]-Holding the Fairy Memory.|null
51|Techno Blast [Normal]|120|120|5|1|0|0|0|0|The user fires a beam of light at its target![NEWLINE]-Not holding a drive.|null
52|Techno Blast [Fire]|120|120|5|1|0|1|0|0|The user fires a beam of light at its target![NEWLINE]-Holding the Burn drive.|null
53|Techno Blast [Water]|120|120|5|1|0|2|0|0|The user fires a beam of light at its target![NEWLINE]-Holding the Douse drive.|null
54|Techno Blast [Electric]|120|120|5|1|0|4|0|0|The user fires a beam of light at its target![NEWLINE]-Holding the Shock drive.|null
55|Techno Blast [Ice]|120|120|5|1|0|5|0|0|The user fires a beam of light at its target![NEWLINE]-Holding the Chill drive.|null
56|Armor Cannon|120|120|5|1|0|1|0|0|The user shoots its own armor out as blazing projectiles![NEWLINE]-Lowers the user's Def. Sp.D 1 stage each.|stat self,de:sd,-1:-1,100
57|Flare Blitz|120|120|15|0|1|1|0|0|The user cloaks itself in fire and charges the target![NEWLINE]-The user takes 1/3 recoil damage.[NEWLINE]-10% chance to burn.[NEWLINE]-Thaws the user if frozen.|recoil 1/3 burn 10 thaws
58|Pyro Ball|120|120|5|0|0|1|0|0|The user turns a small stone to a fiery meteor and launches it at the target![NEWLINE]-10% chance to burn.[NEWLINE]-Thaws the user if frozen.[NEWLINE]-Bomb/ball move.|burn 10 thaws bullet
59|Wave Crash|120|120|10|0|1|2|0|0|The user summons a giant wave and crashes into the target![NEWLINE]-The user takes 1/3 recoil damage.|recoil 1/3
60|Wood Hammer|120|120|15|0|1|3|0|0|The user slams its rugged body into the target![NEWLINE]-The user takes 1/3 recoil damage.|recoil 1/3
